Max Infected,Total Infected,Time to Peak,Total Population,Percent total infected,Percent max infected,Percent edges connected
37.3,62.199999999999996,1.8790891884416703,400,15.549999999999999,9.325,0.1
39.6,85.3,3.262367384192177,400,21.325,9.9,0.2
51.5,135.6,6.007995970374165,400,33.9,12.875,0.30000000000000004
80.79999999999998,227.5,5.5501675896844125,400,56.875,20.199999999999996,0.4
96.39999999999999,279.4,7.226708923790546,400,69.85,24.099999999999998,0.5
109.0,304.40000000000003,7.05852584685702,400,76.10000000000001,27.25,0.6
140.3,345.3,6.663807178925408,400,86.325,35.075,0.7
145.8,358.9,6.523869862356762,400,89.725,36.45,0.7999999999999999
164.50000000000003,371.30000000000007,6.1848119155986,400,92.82500000000002,41.12500000000001,0.8999999999999999
176.10000000000002,374.8,5.442576587635962,400,93.7,44.025000000000006,0.9999999999999999
191.50000000000003,382.20000000000005,5.377941090993964,400,95.55000000000001,47.87500000000001,1.0999999999999999
